0,1,2,3,4,5,6,7,8,9,10
hamburger meat,margarine,,,,,,,,,
whole milk,ice cream,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
frozen vegetables,newspapers,,,,,,,,,
sausage,tea,,,,,,,,,
other vegetables,zwieback,,,,,,,,,
zwieback,brown bread,,,,,,,,,
pot plants,yogurt,other vegetables,,,,,,,,
onions,coffee,,,,,,,,,
other vegetables,curd,beef,white bread,,,,,,,
whole milk,yogurt,,,,,,,,,
pork,herbs,,,,,,,,,
frozen meals,citrus fruit,,,,,,,,,
frankfurter,grapes,salt,napkins,soda,,,,,,
fish,bottled beer,,,,,,,,,
chocolate,margarine,bottled water,soda,,,,,,,
tropical fruit,pip fruit,whole milk,other vegetables,,,,,,,
curd,light bulbs,,,,,,,,,
cream cheese ,pastry,,,,,,,,,
whole milk,coffee,,,,,,,,,
sausage,sausage,domestic eggs,dish cleaner,rolls/buns,other vegetables,soda,,,,
meat,canned fish,,,,,,,,,
frozen vegetables,chocolate marshmallow,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
whipped/sour cream,UHT-milk,fruit/vegetable juice,,,,,,,,
red/blush wine,bottled water,,,,,,,,,
rolls/buns,hygiene articles,,,,,,,,,
whole milk,meat,,,,,,,,,
other vegetables,cat food,,,,,,,,,
tropical fruit,canned beer,pastry,,,,,,,,
pip fruit,berries,,,,,,,,,
jam,cake bar,,,,,,,,,
misc. beverages,frozen meals,,,,,,,,,
yogurt,pasta,butter,rolls/buns,,,,,,,
sausage,whole milk,,,,,,,,,
coffee,rolls/buns,,,,,,,,,
beef,other vegetables,,,,,,,,,
whole milk,pastry,butter,whole milk,,,,,,,
yogurt,napkins,,,,,,,,,
sausage,frozen potato products,,,,,,,,,
pastry,kitchen towels,,,,,,,,,
tropical fruit,instant coffee,yogurt,salty snack,,,,,,,
berries,chocolate marshmallow,,,,,,,,,
chicken,frozen vegetables,,,,,,,,,
other vegetables,curd,,,,,,,,,
whole milk,pip fruit,pip fruit,fruit/vegetable juice,,,,,,,
root vegetables,ham,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
frankfurter,rubbing alcohol,sparkling wine,other vegetables,domestic eggs,white bread,yogurt,soda,,,
UHT-milk,coffee,yogurt,,,,,,,,
ham,chocolate,,,,,,,,,
frozen chicken,herbs,yogurt,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
pork,beef,yogurt,,,,,,,,
sliced cheese,root vegetables,whipped/sour cream,,,,,,,,
bottled beer,jam,male cosmetics,dessert,,,,,,,
frankfurter,canned beer,soda,,,,,,,,
UHT-milk,cream cheese ,,,,,,,,,
pip fruit,onions,,,,,,,,,
canned beer,napkins,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
sausage,pork,pip fruit,soda,beef,fruit/vegetable juice,root vegetables,berries,misc. beverages,,
ice cream,herbs,,,,,,,,,
soda,root vegetables,fruit/vegetable juice,,,,,,,,
finished products,cream cheese ,,,,,,,,,
whole milk,margarine,,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
domestic eggs,mayonnaise,,,,,,,,,
butter,rolls/buns,cream cheese ,flour,,,,,,,
mayonnaise,bottled beer,rolls/buns,specialty fat,,,,,,,
other vegetables,whole milk,,,,,,,,,
cream cheese ,candy,,,,,,,,,
roll products ,toilet cleaner,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
specialty bar,soda,frozen vegetables,frozen vegetables,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
rolls/buns,fruit/vegetable juice,frozen vegetables,whipped/sour cream,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
waffles,hygiene articles,tea,,,,,,,,
margarine,house keeping products,whole milk,canned beer,,,,,,,
root vegetables,bottled beer,fruit/vegetable juice,,,,,,,,
canned beer,root vegetables,,,,,,,,,
chicken,grapes,,,,,,,,,
sausage,whole milk,,,,,,,,,
soda,whole milk,whole milk,sugar,,,,,,,
pork,pork,frankfurter,frozen fish,waffles,napkins,rolls/buns,,,,
pip fruit,butter milk,,,,,,,,,
dishes,onions,canned beer,,,,,,,,
sausage,chocolate,,,,,,,,,
canned beer,male cosmetics,white wine,ice cream,,,,,,,
other vegetables,onions,,,,,,,,,
frankfurter,frankfurter,grapes,brown bread,,,,,,,
root vegetables,curd,waffles,,,,,,,,
soda,other vegetables,,,,,,,,,
whole milk,whole milk,sauces,,,,,,,,
chicken,roll products ,,,,,,,,,
sliced cheese,bottled water,,,,,,,,,
bottled water,herbs,,,,,,,,,
meat,bottled water,abrasive cleaner,,,,,,,,
whole milk,other vegetables,,,,,,,,,
other vegetables,napkins,newspapers,,,,,,,,
white bread,processed cheese,,,,,,,,,
whole milk,candy,domestic eggs,white wine,,,,,,,
meat,misc. beverages,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
beverages,rolls/buns,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
dessert,whole milk,,,,,,,,,
pastry,meat,,,,,,,,,
berries,rolls/buns,,,,,,,,,
dishes,fruit/vegetable juice,,,,,,,,,
yogurt,salt,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
pip fruit,white wine,white wine,,,,,,,,
liquor (appetizer),hard cheese,yogurt,,,,,,,,
chewing gum,whole milk,bottled beer,ready soups,,,,,,,
sausage,pip fruit,spices,,,,,,,,
onions,other vegetables,,,,,,,,,
frankfurter,other vegetables,specialty bar,,,,,,,,
sugar,coffee,cream cheese ,bottled water,,,,,,,
margarine,long life bakery product,,,,,,,,,
onions,soda,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
ham,dessert,,,,,,,,,
rolls/buns,shopping bags,cream cheese ,,,,,,,,
tidbits,cream cheese ,,,,,,,,,
chocolate,beef,,,,,,,,,
whole milk,pot plants,domestic eggs,,,,,,,,
other vegetables,soda,,,,,,,,,
frankfurter,margarine,,,,,,,,,
whole milk,flower (seeds),honey,,,,,,,,
ice cream,curd,,,,,,,,,
tropical fruit,misc. beverages,,,,,,,,,
napkins,whole milk,butter milk,,,,,,,,
frozen vegetables,other vegetables,napkins,,,,,,,,
beverages,whole milk,onions,,,,,,,,
root vegetables,soda,,,,,,,,,
coffee,root vegetables,bottled beer,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
yogurt,tidbits,,,,,,,,,
misc. beverages,cling film/bags,,,,,,,,,
tropical fruit,tropical fruit,napkins,,,,,,,,
root vegetables,yogurt,,,,,,,,,
salty snack,white wine,,,,,,,,,
spread cheese,frankfurter,ice cream,citrus fruit,pip fruit,cake bar,other vegetables,yogurt,rolls/buns,,
frozen vegetables,whipped/sour cream,,,,,,,,,
citrus fruit,onions,,,,,,,,,
butter,popcorn,,,,,,,,,
nut snack,whole milk,,,,,,,,,
fruit/vegetable juice,rolls/buns,chocolate,,,,,,,,
liver loaf,chicken,rolls/buns,spread cheese,shopping bags,,,,,,
other vegetables,baking powder,salty snack,,,,,,,,
chicken,pip fruit,curd,,,,,,,,
tropical fruit,frozen fish,chewing gum,newspapers,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
sausage,frankfurter,citrus fruit,bottled beer,soda,butter,oil,,,,
soda,mustard,,,,,,,,,
yogurt,salty snack,,,,,,,,,
other vegetables,other vegetables,waffles,,,,,,,,
whole milk,soda,,,,,,,,,
frankfurter,pork,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
sausage,salt,,,,,,,,,
salty snack,tropical fruit,,,,,,,,,
tropical fruit,bottled beer,other vegetables,meat,roll products ,,,,,,
root vegetables,citrus fruit,,,,,,,,,
sausage,pork,butter,whole milk,fruit/vegetable juice,,,,,,
sausage,yogurt,whole milk,,,,,,,,
brown bread,bottled beer,,,,,,,,,
dog food,hygiene articles,Instant food products,,,,,,,,
yogurt,yogurt,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
bottled water,chocolate,,,,,,,,,
bottled water,white bread,,,,,,,,,
citrus fruit,white bread,white bread,,,,,,,,
meat,semi-finished bread,,,,,,,,,
coffee,domestic eggs,,,,,,,,,
tropical fruit,pork,whole milk,salt,,,,,,,
tropical fruit,hard cheese,,,,,,,,,
pip fruit,specialty chocolate,,,,,,,,,
pork,other vegetables,,,,,,,,,
yogurt,sweet spreads,canned beer,pot plants,,,,,,,
bottled water,specialty bar,,,,,,,,,
pork,newspapers,,,,,,,,,
beef,grapes,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
citrus fruit,margarine,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
organic sausage,other vegetables,hard cheese,bottled water,,,,,,,
frankfurter,soda,,,,,,,,,
fish,sausage,other vegetables,soda,rolls/buns,,,,,,
soda,dishes,,,,,,,,,
beverages,curd,,,,,,,,,
other vegetables,pastry,,,,,,,,,
citrus fruit,pot plants,,,,,,,,,
frankfurter,prosecco,,,,,,,,,
chicken,whole milk,rolls/buns,,,,,,,,
ham,rolls/buns,whole milk,rum,berries,cleaner,,,,,
bottled beer,whole milk,,,,,,,,,
newspapers,dishes,,,,,,,,,
other vegetables,pickled vegetables,,,,,,,,,
meat,hamburger meat,,,,,,,,,
butter,flour,fruit/vegetable juice,fruit/vegetable juice,,,,,,,
waffles,whole milk,condensed milk,,,,,,,,
butter,whole milk,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
pastry,processed cheese,,,,,,,,,
sausage,dessert,,,,,,,,,
pork,pickled vegetables,,,,,,,,,
whole milk,white bread,canned beer,brown bread,fruit/vegetable juice,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
bottled beer,butter,frozen vegetables,whole milk,,,,,,,
cream cheese ,frozen meals,,,,,,,,,
bottled water,yogurt,tropical fruit,whole milk,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
chicken,male cosmetics,,,,,,,,,
shopping bags,curd,,,,,,,,,
bottled beer,berries,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
other vegetables,margarine,bottled water,,,,,,,,
white bread,rolls/buns,,,,,,,,,
berries,candy,,,,,,,,,
sausage,domestic eggs,frozen meals,,,,,,,,
root vegetables,soda,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
tropical fruit,frozen fish,bottled water,,,,,,,,
dessert,frozen fish,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
pastry,shopping bags,,,,,,,,,
frozen vegetables,yogurt,bottled beer,,,,,,,,
root vegetables,sausage,whole milk,chewing gum,brown bread,,,,,,
pip fruit,other vegetables,coffee,,,,,,,,
beef,pastry,,,,,,,,,
bottled water,frozen fish,,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
cream cheese ,specialty chocolate,,,,,,,,,
bottled water,coffee,,,,,,,,,
sausage,UHT-milk,female sanitary products,rolls/buns,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
curd,shopping bags,,,,,,,,,
beef,soda,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
sugar,frozen vegetables,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
beverages,whole milk,,,,,,,,,
rolls/buns,canned beer,bottled beer,ham,hamburger meat,pickled vegetables,salty snack,domestic eggs,soda,,
packaged fruit/vegetables,whole milk,photo/film,oil,,,,,,,
tropical fruit,specialty cheese,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
sausage,curd,,,,,,,,,
sausage,yogurt,,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
oil,brown bread,oil,seasonal products,,,,,,,
hamburger meat,chewing gum,curd,,,,,,,,
other vegetables,liquor,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
yogurt,dog food,semi-finished bread,napkins,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
pip fruit,pork,seasonal products,canned beer,,,,,,,
beef,waffles,,,,,,,,,
canned beer,beverages,,,,,,,,,
pastry,roll products ,,,,,,,,,
tropical fruit,cocoa drinks,,,,,,,,,
chocolate,margarine,,,,,,,,,
margarine,rolls/buns,root vegetables,,,,,,,,
finished products,newspapers,whipped/sour cream,,,,,,,,
other vegetables,pastry,,,,,,,,,
herbs,sugar,,,,,,,,,
nuts/prunes,cream cheese ,,,,,,,,,
beef,pasta,,,,,,,,,
chocolate,yogurt,other vegetables,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
specialty chocolate,brandy,,,,,,,,,
grapes,chocolate marshmallow,dishes,,,,,,,,
oil,soda,sliced cheese,,,,,,,,
canned beer,whole milk,,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
coffee,yogurt,,,,,,,,,
semi-finished bread,shopping bags,,,,,,,,,
soda,pastry,,,,,,,,,
light bulbs,whole milk,,,,,,,,,
pip fruit,specialty fat,,,,,,,,,
curd,butter,,,,,,,,,
tropical fruit,soda,,,,,,,,,
cat food,pet care,oil,,,,,,,,
pip fruit,curd,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
canned beer,yogurt,,,,,,,,,
misc. beverages,salt,candy,,,,,,,,
ham,beverages,,,,,,,,,
beverages,canned vegetables,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
finished products,popcorn,,,,,,,,,
pork,cream cheese ,,,,,,,,,
sliced cheese,beverages,other vegetables,napkins,,,,,,,
specialty chocolate,citrus fruit,UHT-milk,frozen meals,,,,,,,
other vegetables,butter,,,,,,,,,
frozen fish,tropical fruit,,,,,,,,,
yogurt,roll products ,,,,,,,,,
turkey,onions,,,,,,,,,
yogurt,other vegetables,red/blush wine,domestic eggs,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
misc. beverages,chocolate,,,,,,,,,
canned vegetables,pasta,,,,,,,,,
ice cream,specialty chocolate,,,,,,,,,
newspapers,cat food,,,,,,,,,
herbs,cereals,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
frozen vegetables,onions,,,,,,,,,
frozen dessert,fruit/vegetable juice,,,,,,,,,
whole milk,bottled water,soda,,,,,,,,
meat,specialty cheese,,,,,,,,,
meat,domestic eggs,,,,,,,,,
soap,candy,,,,,,,,,
other vegetables,beverages,margarine,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
berries,root vegetables,bottled water,,,,,,,,
butter milk,kitchen towels,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
coffee,whole milk,,,,,,,,,
sausage,detergent,hygiene articles,,,,,,,,
curd,specialty chocolate,,,,,,,,,
canned fish,curd,,,,,,,,,
pork,rolls/buns,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
finished products,other vegetables,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
newspapers,frozen vegetables,long life bakery product,,,,,,,,
bottled beer,yogurt,,,,,,,,,
white wine,root vegetables,,,,,,,,,
onions,canned fruit,,,,,,,,,
sausage,beef,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
ham,beef,bottled water,citrus fruit,dishes,,,,,,
pip fruit,specialty bar,,,,,,,,,
ham,roll products ,brown bread,,,,,,,,
sausage,salt,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
pet care,soda,,,,,,,,,
specialty bar,shopping bags,pasta,,,,,,,,
tropical fruit,pork,UHT-milk,hamburger meat,,,,,,,
pastry,other vegetables,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
ham,bottled water,,,,,,,,,
soda,napkins,,,,,,,,,
chocolate,brown bread,,,,,,,,,
canned beer,whole milk,pork,oil,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
citrus fruit,flour,,,,,,,,,
shopping bags,other vegetables,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
fruit/vegetable juice,canned fish,light bulbs,long life bakery product,,,,,,,
frankfurter,citrus fruit,,,,,,,,,
turkey,specialty bar,,,,,,,,,
rolls/buns,oil,,,,,,,,,
bottled water,bottled beer,canned fish,,,,,,,,
beef,citrus fruit,,,,,,,,,
berries,curd,specialty cheese,,,,,,,,
pork,bottled water,,,,,,,,,
sausage,yogurt,,,,,,,,,
soda,yogurt,,,,,,,,,
sausage,grapes,bottled beer,,,,,,,,
chicken,white bread,,,,,,,,,
liquor (appetizer),candy,misc. beverages,,,,,,,,
yogurt,yogurt,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
dog food,canned beer,,,,,,,,,
dessert,yogurt,,,,,,,,,
sausage,photo/film,,,,,,,,,
soda,soda,salty snack,,,,,,,,
meat,canned fish,brown bread,,,,,,,,
chicken,whole milk,,,,,,,,,
beef,other vegetables,,,,,,,,,
brown bread,frozen vegetables,,,,,,,,,
other vegetables,soda,,,,,,,,,
cream cheese ,sausage,whole milk,pip fruit,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
soda,shopping bags,,,,,,,,,
soda,pastry,bottled water,,,,,,,,
sausage,rolls/buns,rolls/buns,,,,,,,,
cream cheese ,misc. beverages,,,,,,,,,
root vegetables,ice cream,rolls/buns,,,,,,,,
frankfurter,frozen potato products,newspapers,softener,abrasive cleaner,,,,,,
yogurt,cookware,,,,,,,,,
curd cheese,soda,,,,,,,,,
bottled beer,liver loaf,bottled water,pastry,,,,,,,
sliced cheese,cling film/bags,,,,,,,,,
frozen meals,newspapers,,,,,,,,,
sugar,soda,,,,,,,,,
pasta,newspapers,,,,,,,,,
other vegetables,pasta,,,,,,,,,
rolls/buns,candy,white bread,,,,,,,,
bottled beer,soda,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
whole milk,frozen fish,specialty chocolate,,,,,,,,
ham,canned beer,,,,,,,,,
citrus fruit,yogurt,rolls/buns,,,,,,,,
rolls/buns,cream cheese ,margarine,,,,,,,,
chewing gum,newspapers,newspapers,,,,,,,,
cat food,shopping bags,,,,,,,,,
frankfurter,onions,,,,,,,,,
meat,canned beer,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
yogurt,dog food,,,,,,,,,
other vegetables,cookware,canned beer,canned beer,frozen vegetables,butter,ice cream,bottled water,,,
liver loaf,hamburger meat,sausage,whole milk,whipped/sour cream,other vegetables,white bread,whole milk,rolls/buns,,
tropical fruit,cream cheese ,,,,,,,,,
tropical fruit,whole milk,shopping bags,,,,,,,,
sausage,chicken,domestic eggs,curd,pastry,,,,,,
curd,sliced cheese,frozen fish,,,,,,,,
hamburger meat,pasta,,,,,,,,,
chicken,rolls/buns,liquor (appetizer),pip fruit,hygiene articles,,,,,,
curd cheese,other vegetables,herbs,fruit/vegetable juice,zwieback,,,,,,
beverages,specialty bar,,,,,,,,,
margarine,cereals,,,,,,,,,
bottled beer,red/blush wine,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
brown bread,honey,pet care,,,,,,,,
white wine,ham,whole milk,coffee,bottled water,,,,,,
berries,pork,waffles,herbs,yogurt,specialty cheese,fruit/vegetable juice,long life bakery product,,,
pot plants,rolls/buns,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
pastry,whole milk,,,,,,,,,
soda,bottled beer,,,,,,,,,
root vegetables,coffee,napkins,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
chicken,tropical fruit,waffles,whipped/sour cream,brown bread,,,,,,
citrus fruit,sugar,,,,,,,,,
beef,frozen meals,white bread,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
cream cheese ,yogurt,,,,,,,,,
instant coffee,sparkling wine,,,,,,,,,
long life bakery product,candy,,,,,,,,,
pip fruit,other vegetables,flour,,,,,,,,
curd,yogurt,domestic eggs,,,,,,,,
ham,pastry,,,,,,,,,
beef,yogurt,,,,,,,,,
newspapers,fruit/vegetable juice,specialty chocolate,,,,,,,,
pip fruit,white wine,,,,,,,,,
beverages,long life bakery product,hygiene articles,,,,,,,,
processed cheese,roll products ,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
packaged fruit/vegetables,shopping bags,,,,,,,,,
frozen vegetables,whipped/sour cream,,,,,,,,,
specialty chocolate,shopping bags,,,,,,,,,
liquor,newspapers,,,,,,,,,
long life bakery product,rum,,,,,,,,,
nuts/prunes,margarine,,,,,,,,,
pastry,shopping bags,,,,,,,,,
hamburger meat,packaged fruit/vegetables,baking powder,,,,,,,,
chewing gum,coffee,sugar,,,,,,,,
pork,sausage,frankfurter,other vegetables,pork,curd,flower soil/fertilizer,curd,margarine,,
butter,frankfurter,root vegetables,butter milk,vinegar,,,,,,
root vegetables,whole milk,,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
rolls/buns,cat food,,,,,,,,,
hamburger meat,sausage,margarine,tropical fruit,pickled vegetables,,,,,,
butter milk,hard cheese,,,,,,,,,
other vegetables,pastry,,,,,,,,,
pot plants,frozen vegetables,coffee,,,,,,,,
whole milk,roll products ,rice,,,,,,,,
long life bakery product,yogurt,,,,,,,,,
rolls/buns,bottled water,vinegar,,,,,,,,
meat,other vegetables,pasta,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
photo/film,brown bread,,,,,,,,,
bottled beer,pastry,,,,,,,,,
zwieback,soda,curd,,,,,,,,
misc. beverages,oil,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
chicken,candy,sugar,,,,,,,,
frozen fish,bottled beer,,,,,,,,,
canned beer,frozen dessert,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
chocolate marshmallow,bottled water,,,,,,,,,
chicken,coffee,,,,,,,,,
